Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Citará,Recursos naturales,CI2-2016-6,Archivado,Natural,-No aplica-,Betania,PCH EL CHUMBIMBO,160CI-1612-13501,Por la cual se adopta una decisión,12/22/2016 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2017-15,Archivado,Natural,-No aplica-,Remedios,PCH,160ZF-RES2103-1446,Por la cual se archiva un expediente,03/12/2021 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2015-3,Archivado,Natural,-No aplica-,San Jerónimo,Pequeña central Hidroelectrica Ovejas,160HX-RES1901-479,Por la cual se termina anticipadamente un trámite o permiso,01/31/2019 12:00:00 AM
Hevéxicos,Recursos naturales,AN2-2013-1,Archivado,Jurídica,Privada,Medellín,Factivilidad para un proyecto de Generación Hidroeléctrica,160HX-1602-8172,Por la cual se archiva un expediente,02/23/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2021-20,Activo,Jurídica,Privada,Campamento,PCH LA PEÑA,160TH-RES2201-240,Por la cual se niega un permiso,01/20/2022 12:00:00 AM
Cartama,Recursos naturales,CA2-2008-5,Archivado,Jurídica,Privada,Montebello,DESARROLLO HIDOELÉCTRICO  EL GAVILAN,,,
Cartama,Recursos naturales,CA2-2009-1,Activo,Jurídica,Pública,Jericó,PERMISO DE ESTUDIO SOBRE RÍO PIEDRAS SECTOR PUENTE LATA,130CA-1107-6836,Por la cual se adopta una decisión,07/19/2011 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2008-3,Archivado,,,Liborina,PERMISO DE PARA ESTUDIO RECURSO HÍDRICO - QUEBRADA JUAN GARCÍA,130HX-4515,Por la cual se adopta una decisión,01/08/2010 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-6,Archivado,Jurídica,Privada,Amalfi,DESARROLLO HIDROELÉCTRICO ALTAMIRA,130ZF-4047,Por la cual se otorga un permiso de estudio,07/26/2010 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2014-1,Archivado,Jurídica,Privada,Angostura,PCH EL REMANSO,160TH-1511-12047,Por la cual se otorga un permiso para el estudio de recursos naturales,11/11/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-20,Archivado,Natural,-No aplica-,Betania,LINEA BASE PARA EL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO APROVECHAMIENTO HIDROELECTRICO DE PEDRAL,160-RES1701-316,Por la cual se adopta una decisión,01/19/2017 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-2,Archivado,Jurídica,Privada,Ebéjico,ESTUDIO DE RECURSO HIDRICO,130HX-1202-5672,Por la cual se niega una prorroga,02/10/2012 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-13,Activo,Jurídica,Privada,Angostura,RECOLECCIÓN DE ESPECÍMENES SILVESTRES DE LA DIVERSIDAD BIOLÓGICA CON FINES DE INVESTIGACIÓN CIENTÍFICA NO COMERCIAL PARA EL PROYECTO PCH CHOCHORIO,160-1606-22417,Por la cual se niega una prorroga,06/24/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2011-23,Archivado,Jurídica,Privada,Anzá,INVESTIGAR LA ACTIVIDAD BIOLÓGICA DE LAS ESPECIES VEGETALES SOBRE PLAGAS AGRÍCOLAS Y OTROS USOS POTENCIALES,160-1601-21739,Por la cual se archiva un expediente,01/08/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-23,Archivado,Jurídica,Privada,Santa Rosa De Osos,PROYECTO HIDROELÉCTRICO LA CHORRERA,160-1411-20227,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,11/10/2014 12:00:00 AM
Citará,Recursos naturales,CI2-2008-4,Archivado,,,Ciudad Bolívar,DESARROLLO HIDROELÉCTRICO SAN ANTONIO,130CI-5729,Por la cual se otorga un permiso de estudio,09/03/2009 12:00:00 AM
Citará,Recursos naturales,CI2-2009-1,Activo,Jurídica,Pública,Jardín,ESTUDIO SOBRE MOSQUITOS VECTORES ASOCIADOS A GUADUA,160CI-RES2201-95,Por la cual se adopta una decisión,01/12/2022 12:00:00 AM
Citará,Recursos naturales,CI2-2009-1,Activo,Jurídica,Pública,Jardín,ESTUDIO SOBRE MOSQUITOS VECTORES ASOCIADOS A GUADUA,160CI-RES2201-95,Por la cual se adopta una decisión,01/12/2022 12:00:00 AM
Citará,Recursos naturales,CI2-2009-1,Activo,Jurídica,Pública,Jardín,ESTUDIO SOBRE MOSQUITOS VECTORES ASOCIADOS A GUADUA,160CI-RES2201-95,Por la cual se adopta una decisión,01/12/2022 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-2,Archivado,,,Yalí,DESARROLLO HIDROELÉCTRICO LA PERLA,130ZF-3821,Por la cual se otorga un permiso de estudio,12/24/2009 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2017-29,Archivado,Jurídica,Privada,Valdivia,GUAMERO,160PZ-RES1711-6487,Por la cual se otorga un permiso para el estudio de recursos naturales,11/22/2017 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2017-29,Archivado,Jurídica,Privada,Valdivia,GUAMERO,160PZ-RES1711-6487,Por la cual se otorga un permiso para el estudio de recursos naturales,11/22/2017 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-3,Archivado,Natural,-No aplica-,Remedios,PCH VEREDA LA HONDA,130ZF-1210-5478,Por la cual se otorga un permiso para el estudio de recursos naturales,10/18/2012 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-6,Archivado,Jurídica,Privada,Campamento,PROYECTO HIDROELECTRICO DEL RIO NECHI,160TH-1609-12848,Por la cual se inadmite una solicitud,09/14/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-6,Archivado,Jurídica,Privada,Campamento,PROYECTO HIDROELECTRICO DEL RIO NECHI,160TH-1609-12848,Por la cual se inadmite una solicitud,09/14/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-6,Archivado,Jurídica,Privada,El Bagre,INVENTARIO Y PLAN DE APRIVECHAMIENTO FORESTAL PROYECTO LLANURAS ALUVIALES PROPIEDAD DE MINEROS,160-1509-21360,Por la cual se archiva un expediente,09/25/2015 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-24,Archivado,Jurídica,Privada,Yarumal,Estudio de Prefactibilidad para la Generación de Energía Apartir del Caudal del Río Espiritu Santo,130TH-7533,Por la cual se niega un permiso de estudio,02/16/2010 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-3,Activo,Jurídica,Privada,Ituango,PCH,160TH-RES1811-6233,Por la cual se otorga un permiso para el estudio de recursos naturales,11/14/2018 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Natural,-No aplica-,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-RES1812-6751,Por la cual se archiva un expediente,12/03/2018 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Natural,-No aplica-,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-RES1812-6751,Por la cual se archiva un expediente,12/03/2018 12:00:00 AM
Citará,Recursos naturales,CI2-2017-68,Archivado,Jurídica,Pública,Salgar,PCH RIO BARROSO,160CI-RES2004-2072,Por la cual se archiva un expediente,04/21/2020 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-11,Archivado,Jurídica,Privada,San Andrés De Cuerquia,PCH LA GLORIA,040-1312-19006,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/10/2013 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2008-6,Archivado,,,Amagá,Desarrollo Hidroelectrico La Boquilla,130AS-5104,Por la cual se otorga un permiso de estudio,06/12/2009 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-1,Archivado,Jurídica,Pública,Maceo,POLIGONO 1 MACEO,130ZF-1409-6732,Por la cual se niega un permiso para el estudio de recursos naturales,09/24/2014 12:00:00 AM
Citará,Recursos naturales,CI2-2016-2,Archivado,Natural,-No aplica-,Andes,PCH LA LINDA,160CI-RES1706-3179,Por la cual se archiva un expediente,06/27/2017 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-65,Archivado,Jurídica,Pública,Toledo,PCH SANTA MARIA,160TH-RES1803-1116,Por la cual se resuelve un recurso de reposición,03/08/2018 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-65,Archivado,Jurídica,Pública,Toledo,PCH SANTA MARIA,160TH-RES1803-1116,Por la cual se resuelve un recurso de reposición,03/08/2018 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-65,Archivado,Jurídica,Pública,Toledo,PCH SANTA MARIA,160TH-RES1803-1116,Por la cual se resuelve un recurso de reposición,03/08/2018 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2015-5,Archivado,,,Remedios,PCH EN EL RIO PUNA,160ZF-RES1901-239,Por la cual se archiva un expediente,01/24/2019 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2015-1,Archivado,Jurídica,Privada,Anzá,PROYECTO DE APROVECHAMIENTO DEL RECURSO HIDRICO PARA LA GENERACION DE ENERGIA ELECTRICA EN PEQUEÑA CENTRAL HIDROELECTRICA,160HX-RES1805-2540,Por la cual se otorga un permiso para el estudio de recursos naturales,05/11/2018 12:00:00 AM
Citará,Recursos naturales,CI2-2014-1,Archivado,Jurídica,Privada,Andes,PCH EL PROGRESO RIO SAN JUAN,130CI-1403-10485,Por la cual se inadmite una solicitud,03/04/2014 12:00:00 AM
Citará,Recursos naturales,CI2-2010-3,Archivado,Jurídica,Privada,Jardín,CENTRAL HIDROÉLECTRICA LA QUEBRADA SALADA Y LA LINDA MUNICIPIO DE JARDÍN,130CI-1206-8586,Por la cual se adopta una decisión,06/25/2012 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-7,Archivado,Jurídica,Privada,Yalí,DESARROLLO HIDROELÉCTRICO SANTA ANA,160ZF-1503-7024,Por la cual se archiva un expediente,03/04/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-5,Archivado,Jurídica,Privada,Amagá,CARBOELÉCTRICA TERMO AMAGÁ,160-RES2206-3321,Por la cual se adopta una decisión,06/10/2022 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-11,Archivado,Jurídica,Pública,Valdivia,"Permiso de Estudio Quebrada el Rosario, Vereda Pueblo Nuevo y Liberia, Corregimiento Puerto Valdivia, Municipio Valdivia, Cotas 900 a 300 msnm.",160PZ-RES1705-2270,Por la cual se archiva un expediente,05/10/2017 12:00:00 AM
Citará,Recursos naturales,CI2-2015-1,Archivado,Jurídica,Privada,Hispania,gas natural fenosa,160CI-RES1706-2957,Por la cual se archiva un expediente,06/14/2017 12:00:00 AM
Cartama,Recursos naturales,CA2-2016-3,Activo,Jurídica,Privada,Fredonia,,160CA-1611-10554,Por la cual se archiva un expediente,11/15/2016 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-5,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO HIDROELÉCTRICO SAN MARTÍN (QUEBRADA LA LOMA),130CA-1203-7250,"Por la cual se modifica un permiso, concesión o autorización",03/24/2012 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-19,Archivado,Jurídica,Privada,Buriticá,"MUESTREO COMPONENTE DE FLOR, FAUNA E HIDROBIOLOGICO PARA LA CARACTERIZACION BIOTICA NECESARIA DENTRO DEL ESTUDIO DE IMPACTO AMBIENTAL PARA EL DESARROLLO DE UN PROYECTO MINERO",040-1301-17873,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,01/28/2013 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2015-2,Archivado,Jurídica,Privada,Titiribí,promotoras de centarles hidroelectricas rio amaga,160AS-RES2008-4782,Por la cual se impone una medida preventiva,08/24/2020 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2016-2,Archivado,Jurídica,Privada,Tarazá,Estudio de impacto ambiental de la PCH Tarazá,160-1608-22646,Por la cual se niega un permiso de estudio de investigación cientifica en diversidad biologica,08/10/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2011-25,Archivado,Jurídica,Privada,Segovia,INFORMACION ESPECFICA DE LA INVESTIGACIÓN CIENTIFICA EN DIVERSIDAD BIOLÓGICA,160-RES2204-1979,Por la cual se adopta una decisión,04/08/2022 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2017-66,Archivado,Jurídica,Privada,Tarazá,PCH RIO TARAZÁ,160PZ-RES2001-435,Por la cual se resuelve un recurso de reposición,01/28/2020 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-1,Archivado,Jurídica,Privada,Ebéjico,ESTUDIO DEL RECURSO HIDRICO,130HX-1306-6591,Por la cual se archiva un expediente,06/28/2013 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2022-2,Archivado,Jurídica,Privada,Caracolí,Generación hidroeléctrica Canelones.,160ZF-RES2201-303,Por la cual se otorga un permiso para el estudio de recursos naturales,01/21/2022 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2011-4,Archivado,Natural,-No aplica-,Yolombó,PROYECTO HIDROELECTRICA LA GUAIRA,130ZF-1312-6295,Por la cual se archiva un expediente,12/05/2013 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2017-44,Activo,Natural,-No aplica-,Amagá,estudios ambientales,160-RES2212-8012,Por la cual se archiva un expediente,12/23/2022 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2010-7,Archivado,Jurídica,Privada,Yolombó,PERMISO DE ESTUDIO PARA GENERACIÓN DE ENERGIA,130ZF-1204-5128,Por la cual se prorroga un permiso,04/25/2012 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2018-39,Activo,Jurídica,Privada,Campamento,PCH TENCHE,160TH-RES2106-3488,Por la cual se niega un plazo adicional,06/15/2021 12:00:00 AM
Citará,Recursos naturales,CI2-2008-8,Archivado,Jurídica,Privada,Andes,"ESTUDIO DE PREFACTIBILIDAD Y FACTIBILIDAD PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA A PARTIR DEL CAUDAL EN LA CUENCA DE LAS QDAS. LA LINA, LA ARRALA Y EL RÍO CHAPARRALA VEREDA QUEBRADA ARRIBA EN ANDES",130CI-5858,Por la cual se otorga un permiso de estudio,10/20/2009 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1830,Por la cual se otorga un permiso de estudio,08/06/2010 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-9,Archivado,Jurídica,Pública,Belmira,TRANSCRIPTÓMICA PARA LA IDENTIFICACIÓN Y ESTUDIO IN VITRO DE PÉPTIDOS CON POTENCIAL REGENERATIVO AISLADOS DE PIEL DE RANAS COLOMBIANAS,040-1310-18789,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,10/25/2013 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2016-5,Archivado,Natural,-No aplica-,Amalfi,PEQUEÑA CENTRAL HIDROELÉCTRICA GUASIMÓN,160ZF-1610-8274,Por la cual se otorga un permiso para el estudio de recursos naturales,10/27/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-7,Archivado,Jurídica,Privada,El Bagre,LEVANTAMINETO LINEA BASE MEDIO BIÓTICO PARA LA ACTUALIZACIÓN PLAN DE MANEJO AMBIENTAL CENTRAL HIDROLÉCTRICA PROVIDENCIA,160-1501-20587,Por la cual se resuelve un recurso de reposición,01/20/2015 12:00:00 AM
Citará,Recursos naturales,CI2-2018-27,Archivado,Jurídica,Privada,Andes,PCH EL LIMON,160CI-RES1812-6813,Por la cual se niega un permiso para el estudio de recursos naturales,12/06/2018 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2012-3,Archivado,Natural,-No aplica-,Heliconia,PEQUEÑA CENTRAL HIDROELECTRICA LA GUACA,130AS-1212-7252,Por la cual se otorga un permiso para el estudio de recursos naturales,12/12/2012 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-3,Activo,Jurídica,Privada,Támesis,PCH BRISAS DEL RÍO CLARO,160CA-RES1702-683,Por la cual se adopta una decisión,02/13/2017 12:00:00 AM
Tahamíes,Recursos naturales,CAD2-2014-11,Archivado,Jurídica,Privada,Angostura,CARACTERIZACIÓN BIÓTICA  DEL ÁREA DE INFLUENCIA DIRECTA DEL PROYECTO HIDROELÉCTRICO MST,160-1411-20217,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,11/07/2014 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-6,Archivado,Jurídica,Privada,La Pintada,PROYECTO HIDROELÉCTRICO LA ARGENTINA (RÍO POBLANCO),130CA-1306-7913,Por la cual se archiva un expediente,06/14/2013 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-6,Archivado,Jurídica,Privada,La Pintada,PROYECTO HIDROELÉCTRICO LA ARGENTINA (RÍO POBLANCO),130CA-1306-7913,Por la cual se archiva un expediente,06/14/2013 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-6,Archivado,Jurídica,Privada,La Pintada,PROYECTO HIDROELÉCTRICO LA ARGENTINA (RÍO POBLANCO),130CA-1306-7913,Por la cual se archiva un expediente,06/14/2013 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2018-38,Activo,Jurídica,Privada,Tarazá,PCH TARAZA,160PZ-RES2004-2276,Por la cual se suspende un trámite o permiso,04/29/2020 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-1512-9938,Por la cual se adopta una decisión,12/17/2015 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-1512-9938,Por la cual se adopta una decisión,12/17/2015 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-1512-9938,Por la cual se adopta una decisión,12/17/2015 12:00:00 AM
Citará,Recursos naturales,CI2-2016-13,Archivado,Jurídica,Privada,Betulia,MINICENTRAL HIDROELECTRICA GUSTAVO RUIZ MEJIA,160CI-1610-13299,Por la cual se acepta un desistimiento tácito,10/27/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-9,Archivado,Jurídica,Privada,Santa Rosa De Osos,Aprovechamiento Hidroelèctrico para la Pequeña Central Hidroelèctrica la Rancheria y Santa Inès,130TH-1103-8098,Por la cual se niega un permiso para el estudio de recursos naturales,03/09/2011 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Natural,-No aplica-,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-1611-10559,Por la cual se archiva un expediente,11/17/2016 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Natural,-No aplica-,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,160CA-1611-10559,Por la cual se archiva un expediente,11/17/2016 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-7,Archivado,Jurídica,Privada,Amalfi,Prooyecto Generando,160-1611-23099,Por la cual se archiva un expediente,11/11/2016 12:00:00 AM
Citará,Recursos naturales,CI2-2014-8,Archivado,Natural,-No aplica-,Jardín,´PCH DOJURO,130CI-1407-10842,Por la cual se otorga un permiso para el estudio de recursos naturales,07/15/2014 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-5,Archivado,Natural,-No aplica-,Támesis,PROYECTO RÍO FRÍO,130CA-1410-8858,Por la cual se archiva un expediente,10/09/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-16,Archivado,Jurídica,Privada,Envigado,PROTOCOLOS DE PROPAGACION DE TRES ESPECIES PROMISORIAS DEL BOSQUE ANDINO,160-1510-21424,Por la cual se archiva un expediente,10/16/2015 12:00:00 AM
Citará,Recursos naturales,CI2-2016-9,Archivado,Natural,-No aplica-,Ciudad Bolívar,PCH,160CI-RES1701-390,Por la cual se resuelve un recurso de reposición,01/26/2017 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2013-1,Archivado,Jurídica,Privada,Tarazá,HIDROELÉCTRICO HIDRO CAUCA,160PZ-1512-3511,Por la cual se adopta una decisión,12/28/2015 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-2,Archivado,Jurídica,Privada,Valparaíso,CENTRAL HIDROELÉCTRICA PIPINTÁ,130CA-1309-8035,Por la cual se inadmite una solicitud,09/17/2013 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-1,Archivado,Jurídica,Pública,Maceo,POLIGONO 1 MACEO,130ZF-1411-6827,Por la cual se resuelve un recurso de reposición,11/20/2014 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2008-5,Archivado,Natural,-No aplica-,Titiribí,DESARROLLO HIDROELECTRICO EL SILENCIO,130AS-5448,Por la cual se otorga un permiso de estudio,04/14/2010 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-4,Archivado,Jurídica,Privada,Santa Bárbara,QUEBRADA LA LOMA PROYECTO HIDROELÉCTRICO DENOMINADO EL HELECHAL,130CA-1105-6727,Por la cual se otorga un permiso para el estudio de recursos naturales,05/19/2011 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2021-16,Activo,Natural,-No aplica-,Ituango,n Pequeña Central Hidroeléctrica en el municipio de Ituango,160TH-RES2110-6546,Por la cual se niega un permiso para el estudio de recursos naturales,10/11/2021 12:00:00 AM
Citará,Recursos naturales,CI2-2016-7,Archivado,Natural,-No aplica-,Andes,PCH LAS CASITAS,160CI-1612-13500,Por la cual se adopta una decisión,12/22/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-60,Activo,Jurídica,Pública,Guadalupe,HIDROELECTRICO EL CAÑAL,160TH-RES1804-1908,Por la cual se otorga un permiso para el estudio de recursos naturales,04/12/2018 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-60,Activo,Jurídica,Pública,Guadalupe,HIDROELECTRICO EL CAÑAL,160TH-RES1804-1908,Por la cual se otorga un permiso para el estudio de recursos naturales,04/12/2018 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-60,Activo,Jurídica,Pública,Guadalupe,HIDROELECTRICO EL CAÑAL,160TH-RES1804-1908,Por la cual se otorga un permiso para el estudio de recursos naturales,04/12/2018 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2010-1,Archivado,Jurídica,Privada,Valdivia,PROYECTO HIDROELECTRICO LA PRIMAVERA,130PZ-1109-1986,Por la cual se adopta una decisión,09/21/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2016-11,Archivado,Jurídica,Privada,Barbosa,MINERIA,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-19,Archivado,Jurídica,Privada,Buriticá,"MUESTREO COMPONENTE DE FLOR, FAUNA E HIDROBIOLOGICO PARA LA CARACTERIZACION BIOTICA NECESARIA DENTRO DEL ESTUDIO DE IMPACTO AMBIENTAL PARA EL DESARROLLO DE UN PROYECTO MINERO",160HX-RES1708-4308,Por la cual se impone una medida preventiva,08/17/2017 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-14,Archivado,Jurídica,Privada,Gómez Plata,DESARROLLO HIDROELÉCTRICO CLARITAS,130TH-1112-8627,Por la cual se otorga un permiso para el estudio de recursos naturales,12/07/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2019-5,Archivado,,,Ciudad Bolívar,,,,
Zenufaná,Recursos naturales,ZF2-2019-34,Activo,Jurídica,Privada,Yolombó,PROYECTO DE GENERACIÓN HIDROELÉCTRICA MUNICIPIOS DE GÓMEZ PLATA Y MACEO,160ZF-RES2312-6360,Por la cual se archiva un expediente,12/04/2023 12:00:00 AM
Aburrá Norte,Recursos naturales,AN2-2018-32,Archivado,Jurídica,Privada,Bello,PCH QUEBRADA EL HATO,160AN-RES2108-5142,Por la cual se otorga un permiso para el estudio de recursos naturales,08/18/2021 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2011-7,Archivado,Natural,-No aplica-,Yalí,PROEYCTO HIDROELECTRICO LA ALONDRA,160ZF-1501-6945,Por la cual se archiva un expediente,01/13/2015 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-4,Archivado,Jurídica,Privada,Amalfi,pch viborgen,130ZF-1409-6711,Por la cual se archiva un expediente,09/11/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-10,Archivado,Jurídica,Privada,Ituango,CARACTERIZACIÓN BIÓTICA DEL ÁREA DE INFLUENCIA DIRECTA DEL PROYECTO HIDROELÉCTRICO IFS,160-1411-20333,Por la cual se resuelve un recurso de reposición,11/27/2014 12:00:00 AM
