Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-21,Activo,Natural,-No aplica-,Betulia,LINEA BASA PARA EL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO DEL APROVECHAMIENTO HIDROELÉCTRICO DE SAN MATEO EN EL RIO O QUEBRADA SAN MATEO,160-1511-21472,"Por la cual se modifica un permiso, concesión o autorización",11/03/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,CAD2-2015-1,Archivado,,,Heliconia,"DIAGNÓSTICO, FORMULACIÓN Y ACTUALIZACIÓN DE LOS COMPONENTES DE FLORA, FAUNA E HIDROBIOLÓGICO PARA EL PLAN DE MANEJO AMBIENTAL EN EL CENTRO INDUSTRIAL DE SUR-CIS-EL GUACAL",160-1610-22934,Por la cual se archiva un expediente,10/07/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-49,Archivado,,,San Andrés De Cuerquia,PEQUEÑA CENTRAL HIDROELÉCTRICA QUEBRADA LA CHORRERA,130TH-1101-8052,Por la cual se niega un permiso,01/20/2011 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-3,Archivado,Jurídica,Pública,Vegachí,RIO SAN BARTOLOME POLIGONO 3,130ZF-1409-6731,Por la cual se niega un permiso para el estudio de recursos naturales,09/23/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2019-35,Archivado,Jurídica,Pública,Anzá,Solicitud de permiso de estudios ambientales-Proyecto conexión vial Aburrá-Río Cauca LAM 678,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-20,Archivado,Jurídica,Privada,Ebéjico,ESTUDIO DE IMPACTO AMBIENTAL PARA EL APROVCHAMIENTO HIDROLECTRICO QUEBRADA LA SUCIA,160-RES1706-2921,Por la cual se acepta un desistimiento tácito,06/12/2017 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-19,Archivado,Jurídica,Privada,Campamento,Pequeña Central Hidrelèctrica la Gloria aprovechando las Aguas del Rìo San Josè,130TH-1211-9613,Por la cual se otorga un permiso para el estudio de recursos naturales,11/26/2012 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-13,Archivado,,,Santa Rosa De Osos,DESARROLLO HIDROELÈCTRICO LA VIOLETA,130TH-7288,Por la cual se adopta una decisión,10/01/2009 12:00:00 AM
Citará,Recursos naturales,CI2-2009-1,Activo,Jurídica,Pública,Jardín,ESTUDIO SOBRE MOSQUITOS VECTORES ASOCIADOS A GUADUA,130CI-1107-7606,Por la cual se resuelve un recurso de reposición,07/29/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-4,Archivado,Jurídica,Pública,Remedios,PERMISO DE RECOLECIÓN DE ESPECÍMENES CON FIN DE ESTUDIOS AMBIENTALES,160-RES2204-2274,Por la cual se adopta una decisión,04/28/2022 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2012-5,Archivado,Natural,-No aplica-,Ebéjico,PROYECTO HIDROELECTRICO PCH LA CLARA DE I A V,130HX-1305-6447,Por la cual se otorga un permiso para el estudio de recursos naturales,05/03/2013 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2022-7,Activo,Jurídica,Privada,Puerto Berrío,Permiso de estudio para la recolección de especímenes silvestres de la diversidad biológica en el marco de estudios ambientales,160-RES2212-7203,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/01/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-15,Archivado,Jurídica,Privada,San Andrés De Cuerquia,CARACTERIZACION DEL MEDIO BIOTICO PARA LA MODIFICACIÓN DE LICENCIA PROYECTO HIDROELECTRICO SAN ANDRÉS,160-1511-21580,Por la cual se archiva un expediente,11/30/2015 12:00:00 AM
Panzenú,Recursos naturales,CAD2-2010-5,Activo,Jurídica,Privada,Caucasia,ESTUDIO DE IMPACTO AMBIENTAL EXPLOTACION MINERA DE ORO ALUVIONES DE COLOMBIA SA CONCESION 7398,160PZ-RES1708-3998,Por la cual se impone una medida preventiva,08/02/2017 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-8,Archivado,Jurídica,Pública,Belmira,Regenerómica uso de transcriptómica en mecanismos moleculares implicados en la regeneración de extremidades en dos especies de salamandras colombianas,160-1412-20519,Por la cual se archiva un expediente,12/26/2014 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2011-2,Archivado,Jurídica,Privada,San Jerónimo,permiso de estudio,130HX-1207-5885,Por la cual se otorga un permiso para el estudio de recursos naturales,07/11/2012 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-7,Activo,Natural,-No aplica-,Amagá,RECOLEECIÓN DE ESPECIMENES Y MUESTRAS DE BIODIVERSIDAD,160-RES2412-5993,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/31/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-7,Activo,Natural,-No aplica-,Amagá,RECOLEECIÓN DE ESPECIMENES Y MUESTRAS DE BIODIVERSIDAD,160-RES2412-5993,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/31/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2024-7,Activo,Natural,-No aplica-,Amagá,RECOLEECIÓN DE ESPECIMENES Y MUESTRAS DE BIODIVERSIDAD,160-RES2412-5993,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/31/2024 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2015-1,Archivado,Jurídica,Privada,Caracolí,APROVECHAMIENTO HIDROELÉCTRICO RÍO NUS,160ZF-RES1812-7406,Por la cual se archiva un expediente,12/27/2018 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2023-21,Activo,Jurídica,Privada,Olaya,metodo de inventario para biodiversidad,160-RES2312-6338,Por la cual se otorga un permiso,12/01/2023 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2015-2,Archivado,Natural,-No aplica-,Vegachí,PEQUEÑA CENTRAL HIDROELÉCTRICA LA ISLA,160ZF-RES1709-4763,Por la cual se niega un permiso para el estudio de recursos naturales,09/06/2017 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2022-20,Activo,Jurídica,Privada,Amalfi,"Solicitud de Permiso de Recolección de Especímenes con fines de elaboración de estudios ambientales, para la ejecución de las actividades del Estudio de Impacto Ambiental del proyecto minero Montecristo, con contrato de concesión minera JBQ-08002, ubicado en el municipio de Amalfi, Antioquia.",160-RES2211-7118,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,11/29/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2018-8,Activo,Jurídica,Privada,Barbosa,ESTUDIOS AMBIENTALES,160-RES2112-8457,Por la cual se adopta una decisión,12/15/2021 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-12,Archivado,Jurídica,Privada,Yarumal,METODOLOGÍAS PARA LA RECOLECCIÓN DE ESPECÍMENES Y MUESTRAS DE LA BIODIVERSIDAD,160-1408-19745,Por la cual se otorga un permiso,08/13/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2009-1,Archivado,,,Caldas,,,,
Panzenú,Recursos naturales,PZ2-2016-4,Archivado,Natural,-No aplica-,El Bagre,PCH SIGUANA/SANTA ISABEL,160PZ-RES2112-8594,Por la cual se archiva un expediente,12/16/2021 12:00:00 AM
Cartama,Recursos naturales,CA2-2013-1,Archivado,Natural,-No aplica-,Santa Bárbara,PROYECTO PEQUEÑA CENTRAL HIDROELÉCTRICA LA LOMA,130CA-1406-8598,"Por la cual se modifica un permiso, concesión o autorización",06/27/2014 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-5,Archivado,Jurídica,Privada,Yolombó,Estudios Hidrogeológicos,130ZF-1312-6328,Por la cual se archiva un expediente,12/23/2013 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2020-8,Archivado,Jurídica,Privada,El Bagre,Permiso de recolección con fines de elboración de estudios ambientales,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2020-8,Archivado,Jurídica,Privada,El Bagre,Permiso de recolección con fines de elboración de estudios ambientales,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2020-8,Archivado,Jurídica,Privada,El Bagre,Permiso de recolección con fines de elboración de estudios ambientales,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,SR2-2020-8,Archivado,Jurídica,Privada,El Bagre,Permiso de recolección con fines de elboración de estudios ambientales,,,
Citará,Recursos naturales,CI2-2023-19,Activo,Jurídica,Privada,Hispania,PEQUEÑA CENTRAL HIDROELÉCTRICA PCH SALTO 2,040-RES2407-3099,Por la cual se niega un permiso para el estudio de recursos naturales,07/30/2024 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-3,Archivado,Jurídica,Privada,Valdivia,"Permiso de Estudio Quebrada Guamer, Veredas Pensilvania y Astilleros, cotas 500 a 200 msnm",130PZ-1106-1934,Por la cual se niega un permiso para el estudio de recursos naturales,06/02/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-13,Activo,Jurídica,Privada,Angostura,RECOLECCIÓN DE ESPECÍMENES SILVESTRES DE LA DIVERSIDAD BIOLÓGICA CON FINES DE INVESTIGACIÓN CIENTÍFICA NO COMERCIAL PARA EL PROYECTO PCH CHOCHORIO,160-RES1711-6417,Por la cual se adopta una decisión,11/20/2017 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-1,Archivado,Jurídica,Privada,Jericó,MINICENTRAL HIDRELÉCTRICA,130CA-1307-7945,Por la cual se resuelve un recurso de reposición,07/08/2013 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-1,Archivado,Jurídica,Pública,Valdivia,Permiso de Estudio Comfluencia Quebrada Valdivia,130PZ-1110-2011,Por la cual se niega un permiso para el estudio de recursos naturales,10/25/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,CAD2-2015-1,Archivado,,,Heliconia,"DIAGNÓSTICO, FORMULACIÓN Y ACTUALIZACIÓN DE LOS COMPONENTES DE FLORA, FAUNA E HIDROBIOLÓGICO PARA EL PLAN DE MANEJO AMBIENTAL EN EL CENTRO INDUSTRIAL DE SUR-CIS-EL GUACAL",160-1507-21162,Cobro Coactivo,07/28/2015 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2012-1,Archivado,Jurídica,Privada,Tarazá,Recurso Hídrico Río Rayo,130PZ-1308-2539,Por la cual se termina anticipadamente un trámite o permiso,08/05/2013 12:00:00 AM
Citará,Recursos naturales,CI2-2016-2,Archivado,Natural,-No aplica-,Andes,PCH LA LINDA,160CI-1611-13335,Por la cual se niega un permiso para el estudio de recursos naturales,11/08/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-34,Archivado,Jurídica,Privada,Yarumal,PCH,160TH-RES1806-3515,Por la cual se otorga un permiso para el estudio de recursos naturales,06/25/2018 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-34,Archivado,Jurídica,Privada,Yarumal,PCH,160TH-RES1806-3515,Por la cual se otorga un permiso para el estudio de recursos naturales,06/25/2018 12:00:00 AM
