Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Tahamíes,TH6-2005-2,Archivado,Natural,-No aplica-,Carolina Del Príncipe,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130TH-1109-8452,Por la cual se termina anticipadamente un trámite o permiso,01/09/2011
Aburrá Norte,AN6-2008-2,Archivado,Jurídica,Privada,Girardota,No registrado,San Diego,Emisiones de contaminantes por explotación minera,130AN-10827,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,25/10/2010
Zenufaná,ZF6-2022-3,Activo,Jurídica,Privada,Vegachí,No registrado,No registrada,No aplica,160ZF-RES2210-5987,Por la cual se otorga un permiso,14/10/2022
Zenufaná,ZF6-2010-5,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5781,Por la cual se archiva un expediente,23/10/2018
Tahamíes,TH6-2008-1,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Quemas abiertas controladas en zonas rurales,130TH-6612,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,06/08/2008
Tahamíes,TH6-2010-4,Archivado,Jurídica,Privada,Toledo,No registrado,Taque,Descargas Atmosféricas por chimeneas o ductos (industriales),130TH-7996,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,06/11/2010
Aburrá Sur,AS6-2015-3,Archivado,Jurídica,Privada,Amagá,No registrado,Piedecuesta,Operación de calderas,160AS-1512-9707,Por la cual se acepta un desistimiento tácito,17/12/2015
Tahamíes,TH6-2013-2,Activo,Jurídica,Privada,Campamento,No registrado,La Solita,Explotación minera,130TH-1308-10287,Por la cual se otorga un permiso,26/08/2013
Aburrá Norte,AN6-2018-9,Activo,Jurídica,Privada,Girardota,No registrado,San Andres,Explotación minera,160AN-RES1910-5343,Por la cual se otorga un permiso,04/10/2019
Tahamíes,TH6-2015-3,Archivado,Jurídica,Privada,Yarumal,No registrado,No registrada,No aplica,160TH-RES1807-4065,Por la cual se adopta una decisión,26/07/2018
Zenufaná,ZF6-2016-2,Archivado,Jurídica,Privada,Segovia,No registrado,Manzanillo,Explotación minera,160ZF-RES1912-7406,Por la cual se archiva un expediente,10/12/2019
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES1906-3082,Por la cual se prorroga un permiso,14/06/2019
Zenufaná,ZF6-2012-4,Archivado,Jurídica,Privada,Vegachí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5787,Por la cual se archiva un expediente,23/10/2018
Aburrá Norte,AN6-2014-4,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2402-675,Por la cual se otorga un plazo adicional,22/02/2024
Aburrá Sur,AS6-2017-12,Archivado,Jurídica,Privada,Amagá,No registrado,Guali,Explotación minera,160AS-RES1810-5632,Por la cual se archiva un expediente,16/10/2018
Zenufaná,ZF6-2007-5,Activo,Jurídica,Publica,Puerto Nare,La Sierra,No registrada,Operación de plantas termoeléctricas,160ZF-RES2210-5942,Por la cual se aprueba un plan de contingencia,12/10/2022
Zenufaná,ZF6-2011-7,Archivado,Jurídica,Privada,Yolombó,No registrado,El Comino,Quemas abiertas controladas en zonas rurales,160ZF-1605-8079,Por la cual se archiva un expediente,25/05/2016
Panzenú,PZ6-2014-1,Archivado,Natural,-No aplica-,Tarazá,No registrado,No registrada,Emisiones transitorias (construcciones),160PZ-RES1811-6620,Por la cual se archiva un expediente,28/11/2018
Zenufaná,ZF6-2011-5,Archivado,Jurídica,Privada,Vegachí,No registrado,El Churú,Quemas abiertas controladas en zonas rurales,130ZF-1202-5011,Por la cual se otorga un permiso,17/02/2012
Zenufaná,ZF6-2011-8,Archivado,Jurídica,Privada,Vegachí,No registrado,El Olvido,Quemas abiertas controladas en zonas rurales,130ZF-1302-5831,Por la cual se otorga un permiso,27/02/2013
Tahamíes,TH6-2005-4,Archivado,Jurídica,Privada,Anorí,No registrado,El Limón,No aplica,130TH-1205-9033,Por la cual se inadmite una solicitud,08/05/2012
Zenufaná,ZF6-2008-1,Archivado,Natural,-No aplica-,Puerto Berrío,No registrado,No registrada,Operación de calderas,130ZF-1212-5593,Por la cual se archiva un expediente,10/12/2012
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,160AS-RES1909-4702,Por la cual se adopta una decisión,06/09/2019
Aburrá Norte,AN6-2006-4,Archivado,Jurídica,Privada,Medellín,San Cristobal,La Loma,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-1103-11133,"Por la cual se modifica un permiso, concesión o autorización",01/03/2011
Tahamíes,TH6-2022-2,Activo,Jurídica,Privada,Yarumal,No registrado,El Yarumalito,Emisiones de contaminantes por explotación minera,160TH-RES2208-5100,Por la cual se otorga un permiso,30/08/2022
Aburrá Norte,AN6-2012-6,Activo,Jurídica,Privada,Medellín,No registrado,Belen Aguas Frias,Operación de calderas,160AN-RES1708-4518,"Por la cual se modifica un permiso, concesión o autorización",25/08/2017
Aburrá Norte,AN6-2006-2,Archivado,Natural,-No aplica-,Copacabana,No registrado,Ancón 2,Industrial,130AN-7500,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,19/09/2007
Panzenú,PZ6-2013-3,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Producción de lubricantes y combustibles,160PZ-RES1806-3427,Por la cual se adopta una decisión,21/06/2018
Aburrá Norte,AN6-2004-3,Archivado,Jurídica,Privada,Medellín,Altavista,Corazon,Explotación minera,130AN-7678,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,07/12/2007
Tahamíes,TH6-2021-5,Activo,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,No aplica,160TH-RES2112-9384,Por la cual se otorga un plazo adicional,30/12/2021
Zenufaná,ZF6-2009-9,Archivado,Jurídica,Privada,Yolombó,No registrado,La Bengala,Emisiones transitorias (construcciones),130ZF-1202-5002,Por la cual se niega una prorroga,09/02/2012
Aburrá Norte,AN6-2003-2,Activo,Jurídica,Privada,Medellín,San Cristobal,La Loma,Explotación minera,160AN-RES2208-4803,Por la cual se prorroga un permiso,18/08/2022
Panzenú,PZ6-2015-1,Archivado,Jurídica,Privada,Caucasia,Las Malvinas,No registrada,Industrial,160PZ-1510-3418,Por la cual se otorga un permiso,23/10/2015
Aburrá Sur,AS6-2023-2,Archivado,Jurídica,Privada,Caldas,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(Comerciales),160AS-RES2306-2597,Por la cual se termina anticipadamente un trámite o permiso,07/06/2023
Tahamíes,TH6-2009-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160TH-1512-12373,Por la cual se prorroga un permiso,23/12/2015
Aburrá Sur,AS6-2008-1,Archivado,Jurídica,Privada,La Estrella,La Tablaza,No registrada,Emisiones de contaminantes por explotación minera,130AS-1205-6747,Por la cual se suspende un trámite o permiso,07/05/2012
Zenufaná,ZF6-2014-1,Activo,Natural,-No aplica-,Remedios,No registrado,No registrada,Utilización de Aceites usados,130ZF-1410-6770,Por la cual se otorga el certificado en materia de revisión de gases,20/10/2014
Aburrá Norte,AN6-2004-1,Archivado,Jurídica,Privada,Girardota,No registrado,La Matica,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-2220,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,23/04/2004
Cartama,CA6-2017-8,Archivado,Jurídica,Privada,Támesis,No registrado,No registrada,Operación de calderas,160CA-RES1808-4518,Por la cual se adopta una decisión,16/08/2018
Zenufaná,ZF6-2005-3,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1105-4477,Por la cual se adopta una decisión,16/05/2011
Zenufaná,ZF6-2010-10,Archivado,Jurídica,Privada,Yolombó,No registrado,El Comino,Quemas abiertas controladas en zonas rurales,130ZF-1304-5884,Por la cual se archiva un expediente,04/04/2013
Cartama,CA6-2015-2,Archivado,Jurídica,Privada,Venecia,No registrado,Sinifaná,Industrial,160CA-RES2008-4792,Por la cual se resuelve una solicitud de revocatoria,25/08/2020
Aburrá Norte,AN6-2014-1,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2206-3430,Por la cual se prorroga un permiso,14/06/2022
Cartama,CA6-2015-2,Archivado,Jurídica,Privada,Venecia,No registrado,Sinifaná,Industrial,160CA-RES2212-8450,Por la cual se archiva un expediente,30/12/2022
Cartama,CA6-2015-2,Archivado,Jurídica,Privada,Venecia,No registrado,Sinifaná,Industrial,160CA-RES1902-700,Por la cual se otorga un permiso,14/02/2019
Cartama,CA6-2017-8,Archivado,Jurídica,Privada,Támesis,No registrado,No registrada,Operación de calderas,160CA-RES1708-4291,Por la cual se adopta una decisión,17/08/2017
Panzenú,PZ6-2016-1,Activo,Jurídica,Privada,Zaragoza,No registrado,Chilona,Emisiones transitorias (construcciones),160PZ-RES1705-2334,Por la cual se otorga un permiso,12/05/2017
Aburrá Norte,AN6-2012-4,Activo,Jurídica,Privada,Medellín,San Cristobal,No registrada,Industrial,160AN-RES2306-2969,Por la cual se traspasa un permiso,27/06/2023
Aburrá Sur,AS6-2019-8,Archivado,Jurídica,Privada,Amagá,No registrado,La Gualí,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES1910-5845,Por la cual se acepta un desistimiento,24/10/2019
Zenufaná,ZF6-2012-6,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1312-6303,Por la cual se archiva un expediente,06/12/2013
Cartama,CA6-2020-6,Activo,Jurídica,Privada,La Pintada,No registrado,No registrada,Operación de calderas,160CA-RES2412-5875,Por la cual se archiva un expediente,26/12/2024
Aburrá Norte,AN6-2016-3,Archivado,Jurídica,Privada,Copacabana,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1901-301,Por la cual se otorga un permiso,25/01/2019
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,130HX-1410-7461,"Por la cual se modifica un permiso, concesión o autorización",24/10/2014
Aburrá Norte,AN6-2012-4,Activo,Jurídica,Privada,Medellín,San Cristobal,No registrada,Industrial,160AN-RES1802-473,Por la cual se prorroga un permiso,05/02/2018
Zenufaná,ZF6-2010-1,Archivado,Jurídica,Privada,Vegachí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1308-6065,Por la cual se archiva un expediente,09/08/2013
Tahamíes,TH6-2021-5,Activo,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,No aplica,160TH-RES2202-737,Por la cual se otorga el certificado en materia de revisión de gases,11/02/2022
Aburrá Norte,AN6-2012-4,Activo,Jurídica,Privada,Medellín,San Cristobal,No registrada,Industrial,160AN-RES1712-6894,Por la cual se resuelve un recurso de reposición,06/12/2017
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,160AS-RES2012-6882,Por la cual se adopta una decisión,04/12/2020
Aburrá Norte,AN6-2012-1,Archivado,Jurídica,Privada,Bello,No registrado,No registrada,Industrial,160AN-RES1701-189,Por la cual se aprueba un plan de contingencia,12/01/2017
Panzenú,PZ6-2013-3,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Producción de lubricantes y combustibles,130PZ-1402-2698,Por la cual se otorga una autorización y se toman otras determinaciones,20/02/2014
Aburrá Norte,AN6-2005-2,Activo,Jurídica,Privada,Medellín,No registrado,San Diego,Industrial,160AN-RES2411-5230,Por la cual se acepta un desistimiento,26/11/2024
Aburrá Norte,AN6-2015-2,Activo,Jurídica,Privada,Medellín,San Cristobal,Calle 63 Con Cruce A La Iguana,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2306-2636,Por la cual se niega un permiso,08/06/2023
Zenufaná,ZF6-2004-23,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1104-4414,Por la cual se adopta una decisión,25/04/2011
Aburrá Norte,AN6-2006-4,Archivado,Jurídica,Privada,Medellín,San Cristobal,La Loma,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1708-4517,Por la cual se archiva un expediente,25/08/2017
Aburrá Sur,AS6-2020-2,Archivado,Jurídica,Privada,Itaguí,No registrado,El Ajizal,Industrial,160AS-RES2006-3646,Por la cual se otorga un permiso,30/06/2020
Aburrá Norte,AN6-2009-2,Archivado,Jurídica,Privada,Copacabana,No registrado,El Cabuyal,Explotación minera,160AN-RES2208-4747,Por la cual se declara el desistimiento tácito,17/08/2022
Aburrá Norte,AN6-2006-1,Archivado,Jurídica,Privada,Girardota,No registrado,La Palma,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-1301-13792,Por la cual se archiva un expediente,28/01/2013
Tahamíes,TH6-2015-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,160TH-RES1810-5422,Por la cual se adopta una decisión,01/10/2018
Zenufaná,ZF6-2014-1,Activo,Natural,-No aplica-,Remedios,No registrado,No registrada,Utilización de Aceites usados,160ZF-RES2407-3223,Por la cual se adopta una decisión,31/07/2024
Tahamíes,TH6-2017-18,Archivado,Jurídica,Privada,Anorí,No registrado,El Retiro,Operación de calderas,160TH-RES1709-5153,Por la cual se inadmite una solicitud,26/09/2017
Zenufaná,ZF6-2005-11,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1105-4449,Por la cual se adopta una decisión,12/05/2011
Tahamíes,TH6-1996-4,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-7607,Por la cual se adopta una decisión,08/04/2010
Aburrá Norte,AN6-2008-2,Archivado,Jurídica,Privada,Girardota,No registrado,San Diego,Emisiones de contaminantes por explotación minera,130AN-1310-14554,Por la cual se prorroga un permiso,11/10/2013
Aburrá Norte,AN6-2008-2,Archivado,Jurídica,Privada,Girardota,No registrado,San Diego,Emisiones de contaminantes por explotación minera,160AN-RES2112-9278,Por la cual se archiva un expediente,28/12/2021
Hevéxicos,HX6-2020-5,Archivado,Natural,-No aplica-,Caicedo,No registrado,No registrada,Operación de calderas,160HX-RES2007-4219,Por la cual se niega un permiso,27/07/2020
Aburrá Norte,AN6-2003-2,Activo,Jurídica,Privada,Medellín,San Cristobal,La Loma,Explotación minera,130AN-2525,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,21/09/2004
Zenufaná,ZF6-2004-8,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1105-4445,Por la cual se adopta una decisión,12/05/2011
Panzenú,PZ6-2017-16,Activo,Jurídica,Privada,El Bagre,No registrado,No registrada,Explotación minera,160PZ-RES1712-7170,Por la cual se otorga un permiso,20/12/2017
Zenufaná,ZF6-2020-9,Activo,Jurídica,Privada,Remedios,No registrado,Belén,No aplica,160ZF-RES2105-2956,Por la cual se adopta una decisión,26/05/2021
Zenufaná,ZF6-2009-4,Archivado,Jurídica,Privada,Vegachí,No registrado,La Cristalina,Industrial,130ZF-1105-4458,Por la cual se resuelve un recurso de reposición,13/05/2011
Aburrá Norte,AN6-2008-4,Archivado,Jurídica,Privada,Medellín,Altavista,No registrada,No aplica,160AN-RES1703-1414,Por la cual se impone una medida preventiva,21/03/2017
Zenufaná,ZF6-2009-10,Activo,Jurídica,Privada,Puerto Nare,La Sierra,Caño Seco,Explotación minera,130ZF-1303-5860,Por la cual se niega un permiso,08/03/2013
Zenufaná,ZF6-2007-5,Activo,Jurídica,Publica,Puerto Nare,La Sierra,No registrada,Operación de plantas termoeléctricas,130ZF-3254,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,24/11/2008
Aburrá Sur,AS6-2007-1,Archivado,Jurídica,Privada,Caldas,No registrado,La Aguacatala,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-1307-7710,Por la cual se adopta una decisión,25/07/2013
Aburrá Norte,AN6-2025-1,Activo,Jurídica,Privada,Medellín,Altavista,Altavista,Industrial,160AN-RES2503-927,Por la cual se otorga un permiso,12/03/2025
Zenufaná,ZF6-2009-3,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1105-4483,Por la cual se adopta una decisión,16/05/2011
Hevéxicos,HX6-2020-11,Activo,Jurídica,Privada,San Jerónimo,No registrado,No registrada,No aplica,160HX-RES2412-5557,"Por la cual se modifica un permiso, concesión o autorización",12/12/2024
Tahamíes,TH6-2019-15,Activo,Jurídica,Privada,Yarumal,No registrado,No registrada,Procesos o actividades susceptibles de producir misiones de,160TH-RES2108-5469,Por la cual se adopta una decisión,30/08/2021
Aburrá Norte,AN6-2003-2,Activo,Jurídica,Privada,Medellín,San Cristobal,La Loma,Explotación minera,160AN-RES2309-4427,"Por la cual se modifica un permiso, concesión o autorización",07/09/2023
Aburrá Sur,AS6-2004-2,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-1304-7539,Por la cual se archiva un expediente,26/04/2013
Tahamíes,TH6-2015-4,Activo,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,No aplica,160TH-1507-11774,Por la cual se adopta una decisión,14/07/2015
Aburrá Norte,AN6-2005-2,Activo,Jurídica,Privada,Medellín,No registrado,San Diego,Industrial,130AN-5388,Por la cual se aclara una decisión,20/11/2006
Tahamíes,TH6-2017-17,Archivado,Jurídica,Privada,Anorí,No registrado,La Soledad,Explotación minera,160TH-RES2007-3874,Por la cual se prorroga un permiso,09/07/2020
Zenufaná,ZF6-2012-7,Archivado,Jurídica,Privada,Yolombó,No registrado,Cachumbal,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5783,Por la cual se archiva un expediente,23/10/2018
Aburrá Norte,AN6-2012-1,Archivado,Jurídica,Privada,Bello,No registrado,No registrada,Industrial,160AN-RES1811-6696,Por la cual se levanta una medida preventiva,30/11/2018
Hevéxicos,HX6-2006-4,Archivado,Jurídica,Privada,Ebéjico,Brasil,El Brasil,Almacenamiento de petróleo y sus derivados.,130HX-3534,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,08/02/2008
Citará,CI6-2009-1,Archivado,Jurídica,Privada,Jardín,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130CI-6120,Por la cual se adopta una decisión,03/02/2010
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,160AS-RES2404-1276,Por la cual se adopta una decisión,09/04/2024
Zenufaná,ZF6-2009-4,Archivado,Jurídica,Privada,Vegachí,No registrado,La Cristalina,Industrial,130ZF-3566,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,26/06/2009
Hevéxicos,HX6-2013-1,Archivado,Jurídica,Privada,Buriticá,No registrado,Los Asientos,Emisiones de contaminantes por explotación minera,130HX-1412-7540,Por la cual se acepta un desistimiento tácito,18/12/2014
Zenufaná,ZF6-2019-4,Archivado,Jurídica,Privada,Segovia,No registrado,Pocuné,Industrial,160ZF-RES2004-1647,Por la cual se niega un permiso,01/04/2020
Aburrá Norte,AN6-2016-4,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Explotación minera,160AN-RES2212-7434,Por la cual se otorga un permiso,13/12/2022
Zenufaná,ZF6-2013-1,Activo,Jurídica,Privada,Puerto Nare,La Sierra,No registrada,Industrial,160ZF-RES2212-8472,Por la cual se prorroga un permiso,30/12/2022
Aburrá Norte,AN6-2012-6,Activo,Jurídica,Privada,Medellín,No registrado,Belen Aguas Frias,Operación de calderas,130AN-1304-14092,Por la cual se otorga un permiso,30/04/2013
Aburrá Norte,AN6-1997-160,Archivado,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-1509-17232,Por la cual se archiva un expediente,07/09/2015
Tahamíes,TH6-2019-14,Activo,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Procesos o actividades susceptibles de producir misiones de,160TH-RES2108-5526,Por la cual se adopta una decisión,31/08/2021
Hevéxicos,HX6-2014-1,Archivado,Natural,-No aplica-,Santa Fé De Antioquia,No registrado,No registrada,Explotación minera,130HX-1412-7569,Por la cual se niega un permiso,26/12/2014
Zenufaná,ZF6-2015-2,Archivado,Jurídica,Privada,Vegachí,No registrado,El Cascajo,Quemas abiertas controladas en zonas rurales,160ZF-RES1807-3854,Por la cual se acepta un desistimiento,13/07/2018
Tahamíes,TH6-2015-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,160TH-RES1804-2019,Por la cual se adopta una decisión,18/04/2018
Aburrá Norte,AN6-2014-2,Activo,Jurídica,Privada,Copacabana,No registrado,Ancon Norte,Industrial,160AN-RES2006-3162,Por la cual se prorroga un permiso,09/06/2020
Zenufaná,ZF6-2011-5,Archivado,Jurídica,Privada,Vegachí,No registrado,El Churú,Quemas abiertas controladas en zonas rurales,130ZF-1411-6870,Por la cual se archiva un expediente,27/11/2014
Aburrá Sur,ZF6-2006-1,Archivado,Jurídica,Privada,Puerto Nare,La Sierra,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-5630,Por la cual se niega un permiso de emisiones atmosféricas para fuentes fijas,09/09/2010
Aburrá Norte,AN6-2005-1,Activo,Jurídica,Privada,Girardota,No registrado,San Esteban,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-10757,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,21/09/2010
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,160AS-RES1803-1126,Por la cual se adopta una decisión,08/03/2018
Zenufaná,ZF6-2014-1,Activo,Natural,-No aplica-,Remedios,No registrado,No registrada,Utilización de Aceites usados,160ZF-RES2306-2557,Por la cual se adopta una decisión,06/06/2023
Zenufaná,ZF6-2004-29,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1105-4475,Por la cual se adopta una decisión,16/05/2011
Hevéxicos,HX6-2015-1,Archivado,Jurídica,Privada,Sopetrán,No registrado,No registrada,Industrial,160HX-RES1709-5303,Por la cual se termina anticipadamente un trámite o permiso,29/09/2017
Tahamíes,TH6-2019-14,Activo,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Procesos o actividades susceptibles de producir misiones de,160TH-RES2401-130,Por la cual se adopta una decisión,17/01/2024
Zenufaná,ZF6-2009-11,Activo,Jurídica,Privada,Puerto Nare,No registrado,Canteras,Explotación minera,130ZF-1303-5858,Por la cual se otorga un permiso,08/03/2013
Panzenú,PZ6-2013-4,Archivado,Jurídica,Privada,Caucasia,No registrado,No registrada,No aplica,130PZ-1574,General,02/12/2008
Zenufaná,ZF6-2012-1,Archivado,Jurídica,Privada,Amalfi,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1307-6001,Por la cual se niega una prorroga,09/07/2013
Zenufaná,ZF6-2009-10,Activo,Jurídica,Privada,Puerto Nare,La Sierra,Caño Seco,Explotación minera,160ZF-RES2212-8451,Por la cual se prorroga un permiso,30/12/2022
Aburrá Norte,AN6-2014-3,Activo,Jurídica,Privada,Medellín,Altavista,Aguas Frias,No aplica,160AN-RES1705-2237,"Por la cual se modifica un permiso, concesión o autorización",08/05/2017
Zenufaná,ZF6-2004-1,Archivado,Jurídica,-No aplica-,Puerto Nare,La Sierra,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1105-4506,Por la cual se adopta una decisión,23/05/2011
Panzenú,PZ6-2016-1,Activo,Jurídica,Privada,Zaragoza,No registrado,Chilona,Emisiones transitorias (construcciones),160PZ-RES2207-4302,Por la cual se prorroga un permiso,28/07/2022
Aburrá Sur,AS6-2007-1,Archivado,Jurídica,Privada,Caldas,No registrado,La Aguacatala,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-3965,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,30/03/2007
Aburrá Norte,AN6-2014-4,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2201-265,Por la cual se otorga un plazo adicional,20/01/2022
Zenufaná,ZF6-2011-2,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,160ZF-1504-7112,Por la cual se archiva un expediente,23/04/2015
Tahamíes,TH6-2013-1,Archivado,Natural,-No aplica-,Yarumal,No registrado,Mina Vieja,"Incineración de Residuos sólidos, líquidos, gaseosos.",160TH-1505-11649,Por la cual se niega un permiso,06/05/2015
Aburrá Sur,AS6-2017-13,Archivado,Jurídica,Privada,Itaguí,No registrado,No registrada,Industrial,160AS-RES1802-696,Por la cual se otorga un plazo adicional,15/02/2018
Aburrá Norte,AN6-2007-1,Archivado,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1703-1415,Por la cual se archiva un expediente,21/03/2017
Aburrá Sur,AS6-2016-2,Activo,Jurídica,Privada,Amagá,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2103-1670,Por la cual se otorga un plazo adicional,24/03/2021
Zenufaná,ZF6-2005-5,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,160ZF-1612-8393,Por la cual se archiva un expediente,14/12/2016
Panzenú,PZ6-2017-11,Archivado,Jurídica,Privada,Caucasia,No registrado,El Tigre N 1,Emisiones de contaminantes por explotación minera,160PZ-RES1706-3286,Por la cual se otorga un permiso,29/06/2017
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES2010-5760,Por la cual se adopta una decisión,09/10/2020
Zenufaná,ZF6-2004-5,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1104-4427,Por la cual se adopta una decisión,29/04/2011
Aburrá Sur,AS6-2009-1,Archivado,Jurídica,Privada,La Estrella,No registrado,No registrada,Operación de calderas,160AS-1504-9155,Por la cual se otorga un plazo adicional,28/04/2015
Tahamíes,TH6-1996-4,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-4070,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,05/05/2005
Zenufaná,ZF6-2010-5,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1212-5591,Por la cual se otorga un permiso,10/12/2012
Aburrá Norte,AN6-2005-4,Archivado,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Descargas Atmosféricas por chimeneas o ductos (industriales),No registra,Por la cual se resuelve un recurso de reposición,26/01/2012
Aburrá Sur,AS6-2013-3,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Operación de calderas,160AS-RES2011-6282,Por la cual se revoca un acto administrativo,09/11/2020
