Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Aburrá Sur,AS6-2017-9,Archivado,Jurídica,Privada,Amagá,Camilo C,No registrada,Incineración de Residuos Sólidos,160AS-RES1705-2280,Por la cual se inadmite una solicitud,11/05/2017
Aburrá Sur,AS6-2016-1,Activo,Jurídica,Privada,Amagá,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES1701-322,Por la cual se otorga un permiso,19/01/2017
Tahamíes,TH6-2015-4,Activo,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,No aplica,160TH-1508-11833,Por la cual se adopta una decisión,11/08/2015
Panzenú,PZ6-2013-3,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Producción de lubricantes y combustibles,No registra,Por la cual se otorga el certificado en materia de revisión de gases,26/03/2025
Zenufaná,ZF6-2016-2,Archivado,Jurídica,Privada,Segovia,No registrado,Manzanillo,Explotación minera,160ZF-1612-8386,Por la cual se niega un permiso,13/12/2016
Zenufaná,ZF6-2012-2,Archivado,Jurídica,Privada,Caracolí,No registrado,Botijas,Quemas abiertas controladas en zonas rurales,130ZF-1212-5581,Por la cual se otorga un permiso,06/12/2012
Tahamíes,TH6-2003-1,Archivado,Jurídica,Publica,Yarumal,No registrado,No registrada,Incineración de Residuos gaseosos,130TH-4512,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes móviles,30/08/2005
Panzenú,PZ6-2013-2,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Industrial,160PZ-RES2306-2845,"Por la cual se modifica un permiso, concesión o autorización",22/06/2023
Tahamíes,TH6-2022-2,Activo,Jurídica,Privada,Yarumal,No registrado,El Yarumalito,Emisiones de contaminantes por explotación minera,160TH-RES2310-5265,Por la cual se otorga un plazo adicional,19/10/2023
Aburrá Norte,AN6-2012-1,Archivado,Jurídica,Privada,Bello,No registrado,No registrada,Industrial,130AN-1404-14984,Por la cual se otorga un permiso,11/04/2014
Aburrá Norte,AN6-2006-5,Activo,Jurídica,Privada,Bello,No registrado,Granizal,Explotación minera,160AN-RES2310-5107,Por la cual se prorroga un permiso,10/10/2023
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,160AS-1511-9598,Por la cual se acepta un desistimiento tácito,09/11/2015
Zenufaná,ZF6-2004-4,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1104-4429,Por la cual se adopta una decisión,29/04/2011
Tahamíes,TH6-2016-2,Archivado,Jurídica,Privada,Donmatías,No registrado,No registrada,Industrial,160TH-1610-12904,Por la cual se rechaza una solicitud,20/10/2016
Tahamíes,TH6-2008-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,130TH-6619,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,28/08/2008
Aburrá Norte,AN6-2020-8,Archivado,Jurídica,Privada,Girardota,No registrado,La Palma,Operación de calderas,160AN-RES2111-7190,Por la cual se otorga un permiso,05/11/2021
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES1802-941,"Por la cual se modifica un permiso, concesión o autorización",27/02/2018
Panzenú,PZ6-2017-21,Activo,Natural,-No aplica-,Caucasia,No registrado,No registrada,Industrial,160PZ-RES2010-6068,Por la cual se suspende un trámite o permiso,29/10/2020
