Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Norte,AN8-2012-11,03/29/2017 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2011-17,07/31/2017 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Puente,Permanente
Panzenú,PZ8-2015-26,05/27/2021 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2007-29,07/29/2008 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2014-65,12/15/2015 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2014-10,03/11/2015 12:00:00 AM,Archivado,Natural,-No aplica-,Santa Fé De Antioquia,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-78,08/15/2019 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2006-45,12/28/2021 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-1999-5,06/21/2001 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2019-22,12/23/2020 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2014-1,03/17/2021 12:00:00 AM,Archivado,Jurídica,Pública,Briceño,Alcantarillado,Permanente
Aburrá Norte,AN8-2012-33,05/02/2014 12:00:00 AM,Activo,Natural,-No aplica-,Medellín,Gaviones,Permanente
Panzenú,PZ8-2001-7,03/07/2002 12:00:00 AM,Archivado,Jurídica,Pública,El Bagre,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2023-127,09/18/2024 12:00:00 AM,Activo,Natural,-No aplica-,Belmira,Otras Obras y Construcciones,Provisional
Aburrá Sur,AS8-1996-5,08/13/2008 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-13,04/06/2021 12:00:00 AM,Activo,Natural,-No aplica-,Barbosa,Otras Obras y Construcciones,Provisional
