Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Sur,AS8-2021-82,12/20/2022 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2012-24,12/03/2013 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2010-3,05/06/2014 12:00:00 AM,Archivado,Natural,-No aplica-,Copacabana,Muro contención en concreto,Permanente
Zenufaná,ZF8-2005-3,02/01/2012 12:00:00 AM,Archivado,Jurídica,Privada,Amalfi,Canalización en U,Permanente
Aburrá Sur,AS8-2022-16,05/26/2023 12:00:00 AM,Activo,Jurídica,Privada,Sabaneta,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2003-4,02/08/2010 12:00:00 AM,Archivado,Jurídica,Privada,Puerto Nare,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2007-8,12/22/2022 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2011-17,04/16/2012 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Puente,Permanente
Aburrá Norte,AN8-2023-102,03/07/2024 12:00:00 AM,Activo,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2022-61,08/22/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Alcantarillado,Permanente
Zenufaná,ZF8-2015-23,05/23/2017 12:00:00 AM,Archivado,Natural,-No aplica-,Yondó,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2006-2,01/15/2008 12:00:00 AM,Archivado,,,Santa Fé De Antioquia,Canalización Trapezoidal,Permanente
Hevéxicos,HX8-2021-51,08/19/2021 12:00:00 AM,Archivado,Jurídica,Privada,Sopetrán,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-18,05/20/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-10,10/25/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Muro contención en concreto,Permanente
Cartama,CA8-2013-8,03/19/2015 12:00:00 AM,Activo,Jurídica,Privada,Fredonia,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2013-58,03/18/2020 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2005-8,08/30/2006 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Canalización en U,Permanente
Cartama,CA8-2008-2,12/23/2016 12:00:00 AM,Archivado,Jurídica,Privada,Támesis,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2009-5,06/30/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Cobertura Abovedada,Permanente
Citará,CI8-2017-115,08/27/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Jardín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2018-50,06/12/2018 12:00:00 AM,Activo,Natural,-No aplica-,Jericó,Cobertura en Cajón,Permanente
Citará,CI8-2016-1,10/26/2016 12:00:00 AM,Archivado,Natural,-No aplica-,Andes,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-3,08/28/2012 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-10,08/20/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-29,09/22/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Alcantarillado,Permanente
Aburrá Sur,AS8-2017-123,12/26/2022 12:00:00 AM,Activo,Natural,-No aplica-,Amagá,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2015-6,07/17/2017 12:00:00 AM,Archivado,Jurídica,Pública,San Jerónimo,Otras Obras y Construcciones,Permanente
Cartama,CA8-2002-2,07/18/2017 12:00:00 AM,Activo,Natural,-No aplica-,Venecia,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2005-1,06/15/2005 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-17,07/08/2016 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-23,06/26/2015 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Alcantarillado,Permanente
Aburrá Norte,AN8-2018-4,11/28/2018 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-2,07/28/2015 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Canalización en U,Permanente
Aburrá Sur,AS8-2008-1,04/27/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Cobertura Circular,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-8,11/24/2020 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2009-5,02/10/2012 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Panzenú,PZ8-2015-34,04/22/2021 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2007-4,12/06/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2015-9,02/09/2022 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-14,08/12/2024 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2012-17,11/22/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Sabaneta,Muro contención en concreto,Permanente
Hevéxicos,HX8-2011-7,09/25/2019 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Aburrá Norte,AN8-2017-96,08/26/2019 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2011-9,08/30/2022 12:00:00 AM,Archivado,Jurídica,Pública,Belmira,Muro contención en concreto,Permanente
Panzenú,PZ8-2015-37,06/05/2018 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2006-39,03/01/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2014-3,09/30/2014 12:00:00 AM,Archivado,Jurídica,Privada,Fredonia,Otras Obras y Construcciones,Provisional
Hevéxicos,HX8-2017-12,05/22/2017 12:00:00 AM,Archivado,Jurídica,Privada,Sopetrán,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-59,08/27/2024 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2012-8,12/26/2016 12:00:00 AM,Activo,Jurídica,Privada,Fredonia,Muro contención en concreto,Permanente
Hevéxicos,HX8-2024-4,12/09/2024 12:00:00 AM,Activo,Jurídica,Privada,San Jerónimo,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-100,11/16/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2003-4,10/08/2003 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Alcantarillado,Permanente
Aburrá Sur,AS8-2014-14,06/09/2022 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Puente,Permanente
Aburrá Sur,AS8-2007-3,04/04/2008 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Cobertura Circular,Permanente
Aburrá Norte,AN8-2016-33,12/12/2017 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Gaviones,Permanente
Zenufaná,ZF8-2005-9,04/18/2007 12:00:00 AM,Archivado,Jurídica,Pública,Yolombó,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2017-34,10/03/2017 12:00:00 AM,Archivado,Jurídica,Pública,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-4,11/08/2019 12:00:00 AM,Archivado,Jurídica,Privada,Copacabana,Puente,Permanente
Aburrá Norte,AN8-2008-19,12/11/2008 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-79,08/14/2019 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2017-111,08/18/2020 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2013-7,09/23/2014 12:00:00 AM,Archivado,Jurídica,Privada,Nechí,Otras Obras y Construcciones,Provisional
Citará,CI8-2018-21,04/13/2018 12:00:00 AM,Archivado,Natural,-No aplica-,Jardín,Puente,Permanente
Secretaría Ambiental De Envigado,SAE8-2013-17,12/27/2013 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2022-77,11/22/2022 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-14,12/28/2012 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2011-27,05/16/2012 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2009-3,10/30/2009 12:00:00 AM,Archivado,Natural,-No aplica-,Copacabana,Cobertura en Cajón,Permanente
Zenufaná,ZF8-2016-2,08/31/2016 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Canalización en U,Provisional
Aburrá Sur,AS8-2020-8,04/20/2020 12:00:00 AM,Archivado,Jurídica,Privada,Sabaneta,Otras Obras y Construcciones,Permanente
Cartama,CA8-2014-4,12/15/2014 12:00:00 AM,Archivado,Natural,-No aplica-,Jericó,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2018-91,12/11/2023 12:00:00 AM,Activo,Natural,-No aplica-,Santa Rosa De Osos,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2015-9,12/01/2021 12:00:00 AM,Archivado,Jurídica,Privada,San Jerónimo,Puente,Permanente
Secretaría Ambiental De Envigado,SAE8-2018-98,10/24/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-2,04/14/2015 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Puente,Permanente
Tahamíes,TH8-2007-2,11/21/2008 12:00:00 AM,Activo,Jurídica,Privada,Santa Rosa De Osos,Otras Obras y Construcciones,Permanente
Cartama,CA8-2019-48,04/17/2020 12:00:00 AM,Archivado,Jurídica,Privada,Venecia,Cobertura en Cajón,Provisional
Secretaría Ambiental De Envigado,SAE8-2022-6,05/16/2022 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2007-5,12/30/2013 12:00:00 AM,Archivado,,,Envigado,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2017-55,11/22/2017 12:00:00 AM,Archivado,Jurídica,Privada,Anzá,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-14,12/13/2023 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2015-4,09/14/2015 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2014-10,07/09/2015 12:00:00 AM,Activo,Natural,-No aplica-,Envigado,Canalización en U,Permanente
Aburrá Norte,AN8-2012-42,11/18/2019 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Gaviones,Permanente
Aburrá Sur,AS8-2007-2,11/30/2011 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Cobertura Circular,Permanente
Hevéxicos,HX8-2009-5,11/23/2009 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Gaviones,Permanente
Cartama,CA8-2013-11,11/19/2014 12:00:00 AM,Archivado,,,Fredonia,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2007-35,08/21/2008 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2018-52,08/24/2018 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2018-20,10/11/2021 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Zenufaná,ZF8-2013-3,02/03/2016 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Puente,Permanente
Aburrá Norte,AN8-2012-18,02/27/2013 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2006-18,12/07/2006 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2001-5,09/06/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Zenufaná,ZF8-2007-8,01/06/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Vegachí,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2019-81,11/30/2021 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2018-40,08/18/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Envigado,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2013-5,04/20/2018 12:00:00 AM,Archivado,Jurídica,Pública,Santa Fé De Antioquia,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-29,10/04/2023 12:00:00 AM,Archivado,,,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-7,07/30/2010 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-12,01/26/2018 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2005-4,03/20/2007 12:00:00 AM,Archivado,Natural,-No aplica-,Donmatías,Represa,Permanente
Aburrá Norte,AN8-2012-13,08/30/2012 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-17,09/19/2024 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2014-3,09/04/2019 12:00:00 AM,Archivado,Jurídica,Pública,San Jerónimo,Puente,Permanente
Aburrá Norte,AN8-2013-12,06/17/2015 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2010-3,03/06/2013 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-17,06/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-25,09/09/2010 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2014-5,12/16/2014 12:00:00 AM,Archivado,Natural,-No aplica-,Támesis,Otras Obras y Construcciones,Provisional
Hevéxicos,HX8-2021-115,12/03/2021 12:00:00 AM,Activo,Natural,-No aplica-,San Jerónimo,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2003-7,06/11/2004 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-14,12/28/2012 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Secretaría Ambiental De Envigado,SAE8-2021-129,04/27/2022 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Alcantarillado,Permanente
Hevéxicos,HX8-2011-1,01/14/2014 12:00:00 AM,Archivado,Jurídica,Pública,Anzá,Jarillón,Provisional
Cartama,CA8-2012-6,10/05/2012 12:00:00 AM,Activo,Jurídica,Privada,Tarso,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2008-1,04/27/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2012-22,06/05/2013 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2001-1,09/17/2021 12:00:00 AM,Archivado,,,Medellín,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2013-39,09/25/2024 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2010-1,08/24/2016 12:00:00 AM,Archivado,Jurídica,Privada,El Bagre,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2009-9,06/18/2010 12:00:00 AM,Archivado,Natural,-No aplica-,Liborina,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-84,03/09/2016 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Alcantarillado,Permanente
Aburrá Sur,AS8-2014-18,10/16/2019 12:00:00 AM,Archivado,Jurídica,Privada,Titiribí,Puente,Permanente
Citará,CI8-2017-50,07/25/2017 12:00:00 AM,Archivado,Jurídica,Privada,Betulia,Otras Obras y Construcciones,Permanente
Cartama,CA8-2013-1,08/27/2016 12:00:00 AM,Activo,Natural,-No aplica-,Santa Bárbara,Cobertura Circular,Permanente
Secretaría Ambiental De Envigado,SAE8-2019-101,11/19/2021 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-30,12/22/2008 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Panzenú,PZ8-2015-76,05/11/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2020-121,04/15/2024 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Cobertura en Cajón,Permanente
Zenufaná,ZF8-2018-69,11/16/2021 12:00:00 AM,Activo,Jurídica,Privada,Amalfi,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2021-68,10/04/2021 12:00:00 AM,Activo,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2011-12,11/18/2011 12:00:00 AM,Archivado,Jurídica,Pública,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2015-13,12/30/2015 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2024-44,03/31/2025 12:00:00 AM,Archivado,Jurídica,Pública,Amagá,Otras Obras y Construcciones,Provisional
Cartama,CA8-2019-89,11/10/2023 12:00:00 AM,Archivado,Jurídica,Privada,Jericó,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2017-40,11/20/2019 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2011-40,10/23/2012 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-7,07/10/2017 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2017-27,09/28/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2011-15,04/03/2013 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2012-2,08/20/2013 12:00:00 AM,Archivado,Jurídica,Privada,Nechí,Espolones,Permanente
Tahamíes,TH8-2012-3,12/27/2012 12:00:00 AM,Archivado,Jurídica,Privada,Gómez Plata,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-80,04/08/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2014-73,01/23/2015 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-35,09/24/2020 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2007-29,12/07/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2006-21,12/23/2019 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2009-13,04/03/2020 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Gaviones,Permanente
Aburrá Norte,AN8-2010-47,07/16/2024 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2010-10,07/25/2012 12:00:00 AM,Archivado,Jurídica,Privada,Valdivia,Otras Obras y Construcciones,Permanente
Cartama,CA8-2008-15,11/10/2023 12:00:00 AM,Activo,Natural,-No aplica-,Tarso,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2015-7,06/11/2020 12:00:00 AM,Archivado,Natural,-No aplica-,Cáceres,Puente,Permanente
Tahamíes,TH8-2017-136,05/04/2018 12:00:00 AM,Archivado,Jurídica,Pública,Entrerríos,Puente,Provisional
Hevéxicos,HX8-2011-6,08/19/2011 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-47,12/21/2021 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2015-32,11/15/2019 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Puente,Permanente
Tahamíes,TH8-2009-2,10/16/2009 12:00:00 AM,Archivado,Jurídica,Privada,San Andrés De Cuerquia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2010-51,04/28/2011 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2020-35,08/31/2020 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Canalización Triangular o en V,Permanente
Aburrá Norte,AN8-2013-18,05/18/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Provisional
Cartama,CA8-1999-2,08/23/2008 12:00:00 AM,Archivado,Jurídica,Privada,La Pintada,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-5,11/29/2021 12:00:00 AM,Archivado,Jurídica,Privada,Copacabana,Puente,Permanente
Aburrá Norte,AN8-2018-2,11/20/2018 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2022-8,04/17/2024 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2025-18,05/26/2025 12:00:00 AM,Activo,Jurídica,Privada,Sabaneta,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-15,11/20/2019 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización en U,Permanente
Aburrá Norte,AN8-2016-31,07/28/2017 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-44,11/27/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-18,09/22/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-63,03/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Panzenú,PZ8-2015-53,03/03/2016 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura Abovedada,Permanente
Aburrá Sur,AS8-2014-22,08/13/2015 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2013-3,12/15/2014 12:00:00 AM,Activo,Jurídica,Pública,Anorí,Otras Obras y Construcciones,Permanente
Cartama,CA8-2013-1,09/11/2015 12:00:00 AM,Activo,Natural,-No aplica-,Santa Bárbara,Cobertura Circular,Permanente
Aburrá Norte,AN8-2012-46,10/09/2020 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2024-58,11/22/2024 12:00:00 AM,Activo,Jurídica,Pública,Sabaneta,Muro contención en concreto,Permanente
Hevéxicos,HX8-2013-10,09/11/2018 12:00:00 AM,Archivado,Jurídica,Privada,Santa Fé De Antioquia,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2021-110,02/15/2022 12:00:00 AM,Activo,Jurídica,Pública,Gómez Plata,Muro contención en concreto,Permanente
Hevéxicos,HX8-2019-3,11/29/2019 12:00:00 AM,Archivado,Jurídica,Privada,Sopetrán,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2022-7,08/10/2022 12:00:00 AM,Activo,Natural,-No aplica-,Angelópolis,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2011-17,12/30/2015 12:00:00 AM,Archivado,Jurídica,Privada,Itaguí,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2021-55,08/26/2021 12:00:00 AM,Archivado,Jurídica,Privada,Itaguí,Canalización en U,Provisional
Aburrá Sur,AS8-2010-15,11/25/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-17,05/16/2013 12:00:00 AM,Archivado,Jurídica,Privada,Itaguí,Otras Obras y Construcciones,Permanente
Cartama,CA8-2016-2,08/18/2016 12:00:00 AM,Archivado,Jurídica,Pública,Támesis,Cobertura Circular,Permanente
Citará,CI8-2018-113,02/04/2021 12:00:00 AM,Archivado,Jurídica,Pública,Jardín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2004-8,03/12/2012 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Alcantarillado,Permanente
Cartama,CA8-2012-6,11/09/2021 12:00:00 AM,Activo,Jurídica,Privada,Tarso,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2021-30,10/19/2023 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2007-15,05/14/2015 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Gaviones,Permanente
Aburrá Norte,AN8-2024-50,09/10/2024 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Cartama,CA8-2010-1,06/21/2012 12:00:00 AM,Archivado,Jurídica,Privada,Venecia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2010-20,11/04/2010 12:00:00 AM,Archivado,,,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2002-10,12/04/2003 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
