Expediente,Territorial,Municipio,Naturaleza,Tipo_empresa,Producto,Cantidad,Unidades
PZ5-2007-3,Panzenú,El Bagre,Natural,-No aplica-,Resinas,-1,No registra
PZ5-2010-26,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,-1,No registra
CA5-2014-16,Cartama,Jericó,Jurídica,Publica,Guadua,5.44,rastras
CA5-2023-103,Cartama,Venecia,Jurídica,Publica,Guadua,-1,No registra
CI5-2012-3,Citará,Betania,Jurídica,Privada,Guadua,200,200
CI5-2012-3,Citará,Betania,Jurídica,Privada,Guadua,200,200
CA5-2019-38,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,500,unidades
CI5-2008-27,Citará,Betania,Natural,-No aplica-,Estipes,-1,No registra
ZF5-2022-79,Zenufaná,Amalfi,Jurídica,Privada,Astillas,1800,1800
CA5-2012-2,Cartama,Jericó,Jurídica,Privada,Guadua,-1,No registra
CA5-2021-48,Cartama,Valparaíso,-No aplica-,No registrado,Guadua,20000,20000
CI5-2022-76,Citará,Andes,Natural,-No aplica-,Guadua,1440,CULMOS
CI5-2022-76,Citará,Andes,Natural,-No aplica-,Guadua,1440,CULMOS
CI5-2024-16,Citará,Andes,Jurídica,Privada,Guadua,3,30
CI5-2020-80,Citará,Concordia,Jurídica,Privada,Guadua,0,0
CI5-2020-80,Citará,Concordia,Jurídica,Privada,Guadua,0,0
CA5-2024-14,Cartama,La Pintada,Natural,-No aplica-,Guadua,-1,No registra
CA5-2024-119,Cartama,Fredonia,Jurídica,Privada,Guadua,200,m3
CA5-2024-110,Cartama,Fredonia,Natural,-No aplica-,Guadua,-1,No registra
PZ5-2008-11,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,0,0
PZ5-2008-11,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,0,0
CI5-2020-30,Citará,Jardín,Natural,-No aplica-,Guadua,-1,No registra
CA5-2012-8,Cartama,Jericó,Natural,-No aplica-,Guadua,18,RASTRAS
CA5-2012-22,Cartama,Valparaíso,Natural,-No aplica-,Guadua,500,500
HX5-2009-21,Hevéxicos,Santa Fé De Antioquia,Natural,-No aplica-,Cortezas,-1,No registra
CI5-2008-7,Citará,Jardín,Natural,-No aplica-,Estipes,-1,No registra
CI5-2017-286,Citará,Betania,Natural,-No aplica-,Guadua,0,00
PZ5-2007-4,Panzenú,El Bagre,Natural,-No aplica-,Resinas,4000,kilogramos
CI5-2019-317,Citará,Betulia,Natural,-No aplica-,Guadua,0,0
CA5-2019-329,Cartama,Venecia,Natural,-No aplica-,Guadua,-1,No registra
PZ5-2019-308,Panzenú,Caucasia,Natural,-No aplica-,Astillas,-1,No registra
CA5-2021-177,Cartama,Támesis,Jurídica,Publica,Guadua,150,GUADUAS
CA5-2024-110,Cartama,Fredonia,Natural,-No aplica-,Guadua,500,unidades
