Territorial,Expediente,Naturaleza,Tipo Empresa,Estado,Tipo Proyecto,Municipio
Zenufaná,ZF3-2015-2,Natural,-No aplica-,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Puerto Berrío
Zenufaná,ZF3-2015-3,Jurídica,Privada,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2015-4,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Yondó
Zenufaná,ZF3-2015-5,Jurídica,Pública,Activo,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Amalfi
Zenufaná,ZF3-2015-6,Jurídica,Pública,Activo,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Amalfi
Zenufaná,ZF3-2015-7,Natural,-No aplica-,Archivado,Minería,Puerto Nare
Zenufaná,ZF3-2015-8,Jurídica,Privada,Activo,Minería,Remedios
Zenufaná,ZF3-2015-9,Jurídica,Pública,Activo,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Yondó
Zenufaná,ZF3-2016-1,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Yondó
Zenufaná,ZF3-2016-10,Jurídica,Privada,Activo,Construcción y Operación de Centrales Generadoras,Amalfi
Zenufaná,ZF3-2016-11,Jurídica,Privada,Activo,Minería,Segovia
Zenufaná,ZF3-2016-12,Jurídica,Privada,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2016-13,Jurídica,Privada,Archivado,Minería,Segovia
Zenufaná,ZF3-2016-14,Jurídica,Privada,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2016-15,Natural,-No aplica-,Archivado,Minería,Puerto Berrío
Zenufaná,ZF3-2016-16,Jurídica,Pública,Archivado,Construc y operación de C. generadoras con capacidad mayor o igual a 10 MW y menor de 100 MW,Remedios
